x;y
17.47;1
32.45;2
44.10;3
54.08;4
61.57;5
67.39;6
72.38;7
74.88;8
78.21;9
79.87;10
81.54;11
82.37;12
83.20;13
84.03;14
84.86;15
84.03;16
84.86;17
85.70;18
84.86;19
85.70;20
85.70;21
85.70;22
86.53;23
85.70;24
85.70;25
85.70;26
85.70;27
86.53;28
85.70;29
85.70;30
54.08;31
54.08;32
54.60;33
54.60;34
55.12;35
55.64;36
55.64;37
56.16;38
56.16;39
56.16;40
56.68;41
56.68;42
57.20;43
57.72;44
57.72;45
58.24;46
58.24;47
58.24;48
58.76;49
58.76;50
59.28;51
59.28;52
59.28;53
59.80;54
59.80;55
60.32;56
60.32;57
60.32;58
60.84;59
60.32;60
60.84;61
61.36;62
60.84;63
61.36;64
61.36;65
61.36;66
61.88;67
61.88;68
61.88;69
62.40;70
61.88;71
62.40;72
62.40;73
62.40;74
62.92;75
62.40;76
62.92;77
62.92;78
62.92;79
63.44;80
62.92;81
63.44;82
63.44;83
63.44;84
63.44;85
63.44;86
63.44;87
63.96;88
63.96;89
63.96;90
63.96;91
63.96;92
64.48;93
63.96;94
64.48;95
64.48;96
64.48;97
64.48;98
63.96;99
64.48;100
64.48;101
64.48;102
64.48;103
64.48;104
64.48;105
65.00;106
64.48;107
65.00;108
65.00;109
64.48;110
65.00;111
64.48;112
65.00;113
65.00;114
65.00;115
65.00;116
64.48;117
65.00;118
65.00;119
65.00;120
65.00;121
65.52;122
65.00;123
65.00;124
65.00;125
65.00;126
65.52;127
65.00;128
0.00;129
0.00;130
0.00;131
0.00;132
0.00;133
0.00;134
0.00;135
0.00;136
0.00;137
0.00;138
0.00;139
0.00;140
0.00;141
0.00;142
0.00;143
2.00;144
4.77;145
7.58;146
10.42;147
13.27;148
16.12;149
18.96;150
21.79;151
24.60;152
27.40;153
30.16;154
32.88;155
35.56;156
38.19;157
40.76;158
43.28;159
45.74;160
48.14;161
50.48;162
52.73;163
54.91;164
57.03;165
59.08;166
61.08;167
63.01;168
64.87;169
66.66;170
68.40;171
70.08;172
71.71;173
73.28;174
74.77;175
76.20;176
77.58;177
78.91;178
80.18;179
81.41;180
82.58;181
83.72;182
84.82;183
85.89;184
86.90;185
87.86;186
88.78;187
89.68;188
90.52;189
91.33;190
92.10;191
92.83;192
93.54;193
94.21;194
94.84;195
95.45;196
96.05;197
96.63;198
97.19;199
97.71;200
98.20;201
98.67;202
99.11;203
99.51;204
99.89;205
100.25;206
100.59;207
100.90;208
101.20;209
101.49;210
101.77;211
102.03;212
102.26;213
102.47;214
102.68;215
102.89;216
103.07;217
103.24;218
103.39;219
103.55;220
103.70;221
103.84;222
103.96;223
104.06;224
104.14;225
104.23;226
104.32;227
104.40;228
104.46;229
104.50;230
104.51;231
104.51;232
104.52;233
104.53;234
104.54;235
104.54;236
104.52;237
104.47;238
104.42;239
104.38;240
104.35;241
104.31;242
104.27;243
104.21;244
104.13;245
104.02;246
103.90;247
103.80;248
103.70;249
103.61;250
103.51;251
103.42;252
103.34;253
103.28;254
103.21;255
103.14;256
103.04;257
102.92;258
102.80;259
102.68;260
102.56;261
102.44;262
102.32;263
102.19;264
102.08;265
101.98;266
101.87;267
101.76;268
101.64;269
101.53;270
101.43;271
101.32;272
101.22;273
101.14;274
101.06;275
100.97;276
100.86;277
100.75;278
100.65;279
100.54;280
100.42;281
100.29;282
100.15;283
100.01;284
99.88;285
99.73;286
99.59;287
99.46;288
99.33;289
99.20;290
99.06;291
98.94;292
98.82;293
98.71;294
98.62;295
98.53;296
98.43;297
98.31;298
98.18;299
98.05;300
97.90;301
97.77;302
97.65;303
97.53;304
97.40;305
97.26;306
97.14;307
97.01;308
96.88;309
96.77;310
96.65;311
96.53;312
96.40;313
96.27;314
96.13;315
96.00;316
95.87;317
95.75;318
95.63;319
95.52;320
95.43;321
95.36;322
95.30;323
95.22;324
95.14;325
95.05;326
94.95;327
94.84;328
94.74;329
94.65;330
94.57;331
94.50;332
94.41;333
94.31;334
94.20;335
94.10;336
94.01;337
93.92;338
93.83;339
93.75;340
93.66;341
93.57;342
93.47;343
93.37;344
93.26;345
93.15;346
93.06;347
92.97;348
92.88;349
92.80;350
92.72;351
92.65;352
92.59;353
92.52;354
92.45;355
92.39;356
92.30;357
92.22;358
92.12;359
92.03;360
91.95;361
91.89;362
91.83;363
91.78;364
91.72;365
91.66;366
91.61;367
91.56;368
91.53;369
91.50;370
91.47;371
91.43;372
91.38;373
91.34;374
91.29;375
91.24;376
91.17;377
91.10;378
91.03;379
90.97;380
90.89;381
90.81;382
90.72;383
90.63;384
90.55;385
90.48;386
90.42;387
90.35;388
90.28;389
90.21;390
90.13;391
90.06;392
90.00;393
89.94;394
89.88;395
89.81;396
89.73;397
89.66;398
89.58;399
89.51;400
89.45;401
89.41;402
89.37;403
89.34;404
89.32;405
89.31;406
89.30;407
89.28;408
89.25;409
89.20;410
89.15;411
89.10;412
89.05;413
88.99;414
88.95;415
88.92;416
88.87;417
88.81;418
88.73;419
88.66;420
88.58;421
88.51;422
88.44;423
88.38;424
88.33;425
88.29;426
88.25;427
88.22;428
88.20;429
88.18;430
88.17;431
88.16;432
88.15;433
88.15;434
88.14;435
88.14;436
88.14;437
88.11;438
88.08;439
88.02;440
87.96;441
87.88;442
87.82;443
87.75;444
87.69;445
87.63;446
87.58;447
87.53;448
87.49;449
87.46;450
87.43;451
87.40;452
87.38;453
87.35;454
87.33;455
87.31;456
87.30;457
87.28;458
87.27;459
