x;y
16.64;1
32.45;2
44.10;3
54.08;4
61.57;5
66.56;6
71.55;7
74.05;8
77.38;9
79.87;10
80.70;11
82.37;12
82.37;13
84.03;14
84.86;15
84.03;16
84.86;17
85.70;18
84.86;19
85.70;20
84.86;21
85.70;22
86.53;23
85.70;24
85.70;25
85.70;26
85.70;27
85.70;28
85.70;29
85.70;30
86.53;31
85.70;32
53.56;33
53.56;34
54.08;35
54.60;36
54.60;37
55.12;38
55.12;39
55.64;40
56.16;41
56.16;42
56.68;43
57.20;44
57.20;45
57.72;46
57.20;47
57.72;48
58.24;49
58.24;50
58.76;51
58.24;52
58.76;53
59.28;54
59.28;55
59.28;56
59.80;57
59.80;58
60.32;59
59.80;60
60.32;61
60.84;62
60.32;63
60.84;64
60.84;65
60.84;66
61.36;67
61.36;68
61.36;69
61.88;70
61.36;71
61.88;72
61.88;73
61.88;74
62.40;75
61.88;76
62.40;77
62.40;78
62.40;79
62.92;80
62.40;81
62.92;82
62.92;83
62.92;84
62.92;85
62.92;86
63.44;87
63.44;88
63.44;89
63.44;90
63.44;91
63.44;92
63.96;93
63.44;94
63.96;95
63.96;96
63.96;97
63.96;98
63.96;99
63.96;100
64.48;101
63.96;102
63.96;103
63.96;104
63.96;105
64.48;106
63.96;107
64.48;108
64.48;109
64.48;110
64.48;111
64.48;112
64.48;113
65.00;114
64.48;115
64.48;116
64.48;117
64.48;118
0.00;119
0.00;120
0.00;121
0.00;122
0.00;123
0.00;124
0.00;125
0.00;126
0.00;127
0.00;128
0.00;129
0.00;130
2.85;131
10.13;132
17.59;133
25.18;134
32.86;135
40.61;136
48.37;137
56.09;138
63.70;139
71.14;140
78.37;141
85.34;142
91.99;143
98.32;144
104.32;145
110.01;146
115.37;147
120.39;148
125.08;149
128.00;150
128.00;151
128.00;152
128.00;153
128.00;154
128.00;155
128.00;156
128.00;157
128.00;158
128.00;159
128.00;160
128.00;161
128.00;162
128.00;163
128.00;164
128.00;165
128.00;166
128.00;167
128.00;168
128.00;169
128.00;170
128.00;171
128.00;172
128.00;173
128.00;174
128.00;175
128.00;176
128.00;177
128.00;178
128.00;179
128.00;180
128.00;181
128.00;182
128.00;183
128.00;184
128.00;185
128.00;186
128.00;187
128.00;188
128.00;189
128.00;190
128.00;191
128.00;192
128.00;193
128.00;194
128.00;195
128.00;196
128.00;197
128.00;198
128.00;199
128.00;200
128.00;201
128.00;202
128.00;203
128.00;204
128.00;205
128.00;206
128.00;207
128.00;208
128.00;209
128.00;210
128.00;211
128.00;212
128.00;213
128.00;214
128.00;215
128.00;216
128.00;217
128.00;218
128.00;219
128.00;220
128.00;221
128.00;222
128.00;223
128.00;224
128.00;225
128.00;226
128.00;227
128.00;228
128.00;229
128.00;230
128.00;231
128.00;232
128.00;233
128.00;234
128.00;235
128.00;236
128.00;237
128.00;238
128.00;239
128.00;240
128.00;241
128.00;242
128.00;243
128.00;244
128.00;245
128.00;246
128.00;247
128.00;248
128.00;249
128.00;250
128.00;251
128.00;252
128.00;253
128.00;254
128.00;255
128.00;256
128.00;257
128.00;258
128.00;259
128.00;260
128.00;261
128.00;262
128.00;263
128.00;264
128.00;265
128.00;266
128.00;267
128.00;268
128.00;269
128.00;270
128.00;271
128.00;272
128.00;273
128.00;274
128.00;275
128.00;276
128.00;277
128.00;278
128.00;279
128.00;280
128.00;281
128.00;282
128.00;283
128.00;284
128.00;285
128.00;286
128.00;287
128.00;288
128.00;289
128.00;290
128.00;291
128.00;292
128.00;293
128.00;294
128.00;295
128.00;296
128.00;297
128.00;298
128.00;299
128.00;300
128.00;301
128.00;302
128.00;303
128.00;304
128.00;305
128.00;306
128.00;307
128.00;308
128.00;309
128.00;310
128.00;311
128.00;312
128.00;313
128.00;314
128.00;315
128.00;316
128.00;317
128.00;318
128.00;319
128.00;320
128.00;321
128.00;322
128.00;323
128.00;324
128.00;325
128.00;326
128.00;327
128.00;328
128.00;329
128.00;330
128.00;331
128.00;332
128.00;333
128.00;334
128.00;335
128.00;336
128.00;337
128.00;338
128.00;339
128.00;340
128.00;341
128.00;342
128.00;343
128.00;344
128.00;345
128.00;346
126.32;347
124.62;348
122.95;349
121.27;350
119.63;351
118.01;352
116.41;353
114.79;354
113.16;355
111.59;356
110.08;357
108.65;358
107.29;359
106.00;360
104.77;361
103.59;362
102.50;363
101.52;364
100.62;365
99.81;366
99.09;367
98.47;368
97.92;369
97.43;370
96.99;371
96.63;372
96.35;373
96.17;374
96.04;375
95.95;376
95.89;377
95.86;378
95.89;379
95.99;380
96.11;381
96.24;382
96.37;383
96.53;384
96.72;385
96.96;386
97.22;387
97.47;388
