starttime;stoptime;duration;noise enable;IRR enable;SDM enable;FCW;Fout required;times FREF;Fout nor.;desv nor.;Fout total mean;desv total mean;Fout SDM mean;desv SDM mean
19:37:34;19:37:41;6,5396;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9913;-8,6919;2000,0032;3,2030
20:01:11;20:01:16;4,6187;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9913;-8,7460;2000,0032;3,1510
20:05:19;20:05:24;5,5879;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9913;-8,6864;2000,0032;3,2090
20:09:13;20:09:20;6,2718;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9913;-8,7231;2000,0032;3,1740
20:11:50;20:11:56;5,6567;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9912;-8,7742;2000,0031;3,1256
20:14:42;20:14:48;5,5690;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9913;-8,7066;2000,0032;3,1888
20:16:13;20:16:53;40,6644;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9912;-8,7740;2000,0031;3,1243
20:18:07;20:18:14;6,7746;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9912;-8,7917;2000,0031;3,1038
20:26:58;20:27:04;5,2372;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9912;-8,8391;2000,0031;3,0580
20:30:10;20:30:16;5,7684;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9912;-8,8214;2000,0031;3,0761
20:31:02;20:31:10;7,2501;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9912;-8,7855;2000,0031;3,1088
20:32:38;20:32:46;7,7196;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9912;-8,8330;2000,0031;3,0637
20:33:10;20:33:18;7,5347;Ativado;Desativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9913;-8,7342;2000,0032;3,1603
20:36:08;20:36:12;4,2565;Ativado;Desativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9894;-10,5953;2000,0036;3,6125
20:37:43;20:37:48;4,7697;Ativado;Desativado;Ativado;76,923077;2000,0000;5000,000;2000,0256;25,5661;1999,9879;-12,0968;2000,0022;2,1551
20:40:16;20:40:21;4,4041;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9671;-32,8978;1999,9860;-14,0268;2000,0002;0,2210
20:46:10;20:46:14;4,1697;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;2000,0548;54,8000;1999,9895;-10,5364;2000,0037;3,7404
20:49:05;20:49:10;5,2785;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;2000,0256;25,5661;1999,9880;-11,9613;2000,0023;2,3081
20:54:17;20:54:23;5,7347;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9907;-9,3148;2000,0049;4,9454
20:55:59;20:56:04;5,2205;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9957;-4,2676;2000,0100;9,9905
20:57:00;20:57:05;4,5357;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9671;-32,8978;1999,9910;-9,0200;2000,0053;5,2528
21:02:24;21:02:29;5,6655;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9671;-32,8978;1999,9933;-6,7140;2000,0075;7,5461
21:02:46;21:02:53;7,2657;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9896;-10,3993;2000,0039;3,8537
21:04:31;21:05:10;38,7302;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;2000,0256;25,5661;1999,9859;-14,1135;2000,0001;0,1437
21:05:34;21:05:39;4,6636;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9671;-32,8978;1999,9902;-9,7563;2000,0045;4,5041
21:09:58;21:10:02;4,6547;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9919;-8,1071;2000,0061;6,1337
22:02:29;22:02:34;4,3963;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9898;-10,2053;2000,0036;3,5948
22:05:24;22:05:29;5,1636;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,7625;-237,4811;1999,9918;-8,2239;2000,0060;6,0368
22:06:29;22:06:34;4,9027;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9671;-32,8978;1999,9908;-9,1924;2000,0051;5,0793
22:09:52;22:09:57;4,8763;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,7333;-266,7022;1999,9851;-14,8569;1999,9994;-0,5944
22:10:52;22:10:57;4,7678;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9830;-16,9788;1999,9973;-2,7262
22:12:07;22:12:10;3,7021;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9379;-62,1278;1999,9893;-10,6720;2000,0036;3,6038
22:13:10;22:13:42;31,5515;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;2000,1425;142,5093;1999,9846;-15,3692;1999,9989;-1,1200
22:15:25;22:15:30;5,1578;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;2000,0256;25,5661;1999,9878;-12,1666;2000,0021;2,0894
22:16:08;22:16:38;29,7729;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9379;-62,1278;1999,9913;-8,7358;2000,0055;5,5318
22:21:11;22:21:16;5,0263;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,7333;-266,7022;1999,9819;-18,0982;1999,9962;-3,8371
